"sample_id","failed","reason","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop"
"S0278-06.filtered.vcf.gz",FALSE,NA,5,-1383.65868121465,0.00174444444444444,0.002,0.00949192836094556,6.09270000000001,1,57,"4.1.1.1",0.4799
"S0278-06.filtered.vcf.gz",FALSE,NA,5,-1383.65868121465,0.00174444444444444,0.002,0.00949192836094556,6.09270000000001,2,40,"2.2.M4.4",0.0921
"S0278-06.filtered.vcf.gz",FALSE,NA,5,-1383.65868121465,0.00174444444444444,0.002,0.00949192836094556,6.09270000000001,3,12,"4.3.3",0.2671
"S0278-06.filtered.vcf.gz",FALSE,NA,5,-1383.65868121465,0.00174444444444444,0.002,0.00949192836094556,6.09270000000001,4,150,"2.2.M1",0.1045
"S0278-06.filtered.vcf.gz",FALSE,NA,5,-1383.65868121465,0.00174444444444444,0.002,0.00949192836094556,6.09270000000001,5,158,"4.1.2",0.0564
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,5,-1067.20778451971,0.0011962962962963,0,0.00409559815140531,8.6777,1,128,"4.9",0.4199
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,5,-1067.20778451971,0.0011962962962963,0,0.00409559815140531,8.6777,2,9,"4.3.2.1",0.3353
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,5,-1067.20778451971,0.0011962962962963,0,0.00409559815140531,8.6777,3,32,"2.2.AA1",0.0802
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,5,-1067.20778451971,0.0011962962962963,0,0.00409559815140531,8.6777,4,148,"4.1.1",0.0943
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,5,-1067.20778451971,0.0011962962962963,0,0.00409559815140531,8.6777,5,40,"2.2.M4.4",0.0703
"S0279-06.filtered.vcf.gz",FALSE,NA,4,-1741.5190319248,0.00215555555555556,0,1.12335081758642e-09,21.0112,1,57,"4.1.1.1",0.5775
"S0279-06.filtered.vcf.gz",FALSE,NA,4,-1741.5190319248,0.00215555555555556,0,1.12335081758642e-09,21.0112,2,155,"2.2.M2",0.1886
"S0279-06.filtered.vcf.gz",FALSE,NA,4,-1741.5190319248,0.00215555555555556,0,1.12335081758642e-09,21.0112,3,9,"4.3.2.1",0.1219
"S0279-06.filtered.vcf.gz",FALSE,NA,4,-1741.5190319248,0.00215555555555556,0,1.12335081758642e-09,21.0112,4,12,"4.3.3",0.112
"S0280-06.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0281-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0288-01.filtered.vcf.gz",FALSE,NA,4,-1118.77476038172,0.00174444444444444,0,0.00316213077333133,15.4698,1,9,"4.3.2.1",0.2045
"S0288-01.filtered.vcf.gz",FALSE,NA,4,-1118.77476038172,0.00174444444444444,0,0.00316213077333133,15.4698,2,65,"2.2.M1.1",0.3884
"S0288-01.filtered.vcf.gz",FALSE,NA,4,-1118.77476038172,0.00174444444444444,0,0.00316213077333133,15.4698,3,128,"4.9",0.2192
"S0288-01.filtered.vcf.gz",FALSE,NA,4,-1118.77476038172,0.00174444444444444,0,0.00316213077333133,15.4698,4,91,"4.7",0.1879
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-990.358301881576,0.00215555555555556,0,2.62276908292094e-07,11.2343,1,158,"4.1.2",0.8541
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-990.358301881576,0.00215555555555556,0,2.62276908292094e-07,11.2343,2,57,"4.1.1.1",0.1459
"S0298-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0301-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0307-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0314-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.75799584787,0.000922222222222222,0.006,0.0024300841931852,13.3086,1,40,"2.2.M4.4",0.7953
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.75799584787,0.000922222222222222,0.006,0.0024300841931852,13.3086,2,57,"4.1.1.1",0.1242
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.75799584787,0.000922222222222222,0.006,0.0024300841931852,13.3086,3,159,"4.8",0.0805
"S0326-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0338-01.filtered.vcf.gz",FALSE,NA,1,-297.309863333821,0.000465432098765432,0,-1,Inf,1,9,"4.3.2.1",1
"S0340-01.filtered.vcf.gz",FALSE,NA,5,-1500.52601153695,0.00174444444444444,0,0.00416987329173383,7.65969999999999,1,128,"4.9",0.5687
"S0340-01.filtered.vcf.gz",FALSE,NA,5,-1500.52601153695,0.00174444444444444,0,0.00416987329173383,7.65969999999999,2,40,"2.2.M4.4",0.1357
"S0340-01.filtered.vcf.gz",FALSE,NA,5,-1500.52601153695,0.00174444444444444,0,0.00416987329173383,7.65969999999999,3,9,"4.3.2.1",0.1389
"S0340-01.filtered.vcf.gz",FALSE,NA,5,-1500.52601153695,0.00174444444444444,0,0.00416987329173383,7.65969999999999,4,32,"2.2.AA1",0.0926
"S0340-01.filtered.vcf.gz",FALSE,NA,5,-1500.52601153695,0.00174444444444444,0,0.00416987329173383,7.65969999999999,5,148,"4.1.1",0.0641
"S0341-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0348-01.filtered.vcf.gz",FALSE,NA,5,-1219.70786082765,0.00147037037037037,0,3.35181783453106e-05,15.0927,1,128,"4.9",0.4626
"S0348-01.filtered.vcf.gz",FALSE,NA,5,-1219.70786082765,0.00147037037037037,0,3.35181783453106e-05,15.0927,2,40,"2.2.M4.4",0.0937
"S0348-01.filtered.vcf.gz",FALSE,NA,5,-1219.70786082765,0.00147037037037037,0,3.35181783453106e-05,15.0927,3,9,"4.3.2.1",0.1225
"S0348-01.filtered.vcf.gz",FALSE,NA,5,-1219.70786082765,0.00147037037037037,0,3.35181783453106e-05,15.0927,4,57,"4.1.1.1",0.1272
"S0348-01.filtered.vcf.gz",FALSE,NA,5,-1219.70786082765,0.00147037037037037,0,3.35181783453106e-05,15.0927,5,65,"2.2.M1.1",0.194
"S0351-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0370-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0372-01.filtered.vcf.gz",FALSE,NA,1,-463.501284260399,0.0011962962962963,0,-1,Inf,1,65,"2.2.M1.1",1
"S0377-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0387-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0391-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0401-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0475-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0476-01.filtered.vcf.gz",FALSE,NA,4,-856.520310788378,0.000922222222222222,0,1.49493706673283e-08,20.89,1,43,"3.1.3.1",0.8129
"S0476-01.filtered.vcf.gz",FALSE,NA,4,-856.520310788378,0.000922222222222222,0,1.49493706673283e-08,20.89,2,156,"4.1.1.3",0.0419
"S0476-01.filtered.vcf.gz",FALSE,NA,4,-856.520310788378,0.000922222222222222,0,1.49493706673283e-08,20.89,3,147,"2.2.M4",0.0479
"S0476-01.filtered.vcf.gz",FALSE,NA,4,-856.520310788378,0.000922222222222222,0,1.49493706673283e-08,20.89,4,128,"4.9",0.0973
