SampleID,ASM,PacBio_FQ_PATH,ASM_SampleID,pid,Original_ID,numContigs,circContigLength,Flye_Cov,Flye_Coll2014,Flye_PP_Coll2014,NumPilonChanges,PacBio_ID,Illumina_ID,Illumina_F2,Illumina_Coll2014,Lineage
MFS-761,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0283-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0283-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2063--bc2063.hifi_reads.fastq.gz,MFS-324,T0283,S0283-01,1,4416520.0,91,2.2.1.1,2.2.1.1,0,MFS-324,MFS-324,0.0109474302927886,2.2.1.1,2
MFS-767,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0345-08/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0345-08.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2057--bc2057.hifi_reads.fastq.gz,MFS-424,T0345,S0345-08,1,4404662.0,61,4.1.1.1,4.1.1.1,0,MFS-424,MFS-424,0.0078525284027623,4.1.1.1,4
MFS-768,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0346-08/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0346-08.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2059--bc2059.hifi_reads.fastq.gz,MFS-426,T0346,S0346-08,1,4414141.0,145,2.2.1.1,2.2.1.1,1,MFS-426,MFS-426,0.0115633030071532,2.2.1.1,2
MFS-673,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0398-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0398-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2038--bc2038.hifi_reads.fastq.gz,MFS-673,T0398,S0398-01,1,4416494.0,32,2.2.1.1,2.2.1.1,0,MFS-673,MFS-673,0.0107365792759051,2.2.1.1,2
MFS-696,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0427-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0427-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2062--bc2062.hifi_reads.fastq.gz,MFS-696,T0427,S0427-02,1,4418492.0,17,2.2.1,2.2.1,2,MFS-696,MFS-696,0.1086368977673325,2.2.1,2
MFS-812,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0430-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0430-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2007--bc2007.hifi_reads.fastq.gz,MFS-812,T0430,S0430-02,1,4415828.0,42,2.2.1,2.2.1,0,MFS-812,MFS-812,0.0089412580142089,2.2.1,2
MFS-513,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0008-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0008-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2020--bc2020.hifi_reads.fastq.gz,MFS-4,T0008,S0008-01,1,4404929.0,107,4.1.1.1,4.1.1.1,7,MFS-195,MFS-4,0.0070249453292822,4.1.1.1,4
MFS-520,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0017-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0017-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2001--bc2001.hifi_reads.fastq.gz,MFS-520,T0017,S0017-01,1,4429510.0,43,1.1.2,1.1.2,0,MFS-520,MFS-520,0.0192460566503493,1.1.2,1
MFS-557,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0073-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0073-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2029--bc2029.hifi_reads.fastq.gz,MFS-557,T0073,S0073-01,1,4437602.0,37,3.1.1,3.1.1,1,MFS-557,MFS-557,0.0107035159227226,3.1.1,3
MFS-566,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0097-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0097-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2003--bc2003.hifi_reads.fastq.gz,MFS-566,T0097,S0097-02,1,4439444.0,55,3,3,0,MFS-566,MFS-566,0.0099780300256316,3,3
MFS-583,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0120-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0120-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2004--bc2004.hifi_reads.fastq.gz,MFS-583,T0120,S0120-01,1,4424405.0,32,2.2.1,2.2.1,1,MFS-583,MFS-583,0.0102948543001744,2.2.1,2
MFS-611,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0156-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0156-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2006--bc2006.hifi_reads.fastq.gz,MFS-611,T0156,S0156-01,1,4417292.0,27,2.2.1,2.2.1,0,MFS-611,MFS-611,0.0109945485363507,2.2.1,2
MFS-616,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0166-07/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0166-07.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2034--bc2034.hifi_reads.fastq.gz,MFS-199,T0166,S0166-07,1,4398030.0,241,2.2.1,2.2.1,0,MFS-199,MFS-199,0.013075456278943,2.2.1,2
MFS-630,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0204-m5/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0204-m5.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2035--bc2035.hifi_reads.fastq.gz,MFS-632,T0204,S0204-m5,1,4425699.0,28,2.2.1,2.2.1,1,MFS-632,MFS-632,0.0085300573805214,2.2.1,2
MFS-636,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0207-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0207-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2008--bc2008.hifi_reads.fastq.gz,MFS-636,T0207,S0207-01,1,4415292.0,32,2.2.1.1,2.2.1.1,0,MFS-636,MFS-636,0.0113393810032017,2.2.1.1,2
MFS-637,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0208-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0208-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2009--bc2009.hifi_reads.fastq.gz,MFS-637,T0208,S0208-01,1,4393669.0,60,4.1.1.3,4.1.1.3,0,MFS-637,MFS-637,0.0163353036002149,4.1.1.3,4
MFS-640,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0211-08/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0211-08.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2049--bc2049.hifi_reads.fastq.gz,MFS-121,T0211,S0211-08,1,4416633.0,74,2.2.1.1,2.2.1.1,0,MFS-237,MFS-121,0.0104191747838459,2.2.1.1,2
MFS-654,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0282-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0282-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2024--bc2024.hifi_reads.fastq.gz,MFS-323,T0282,S0282-02,1,4416238.0,86,2.2.1.1,2.2.1.1,0,MFS-323,MFS-323,0.0119422572178477,2.2.1.1,2
MFS-656,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0301-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0301-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2010--bc2010.hifi_reads.fastq.gz,MFS-656,T0301,S0301-01,1,4403499.0,28,4.3.3,4.3.3,0,MFS-656,MFS-656,0.0058070667090399,4.3.3,4
MFS-658,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0325-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0325-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2011--bc2011.hifi_reads.fastq.gz,MFS-658,T0325,S0325-01,1,4422720.0,33,2.2.1,2.2.1,0,MFS-658,MFS-658,0.0095910339996767,2.2.1,2
MFS-659,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0327-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0327-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2012--bc2012.hifi_reads.fastq.gz,MFS-659,T0327,S0327-02,1,4417235.0,29,4.3.2.1,4.3.2.1,0,MFS-659,MFS-659,0.0102724710303789,4.3.2.1,4
MFS-660,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0330-m5/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0330-m5.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2037--bc2037.hifi_reads.fastq.gz,MFS-660,T0330,S0330-m5,1,4404976.0,18,4.1.1.1,4.1.1.1,1,MFS-660,MFS-660,0.0064696566364524,4.1.1.1,4
MFS-396,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0330-08/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0330-08.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2025--bc2025.hifi_reads.fastq.gz,MFS-396,T0330,S0330-08,1,4404644.0,37,4.1.1.1,4.1.1.1,0,MFS-396,MFS-396,0.0073820848196591,4.1.1.1,4
MFS-395,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0330-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0330-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2024--bc2024.hifi_reads.fastq.gz,MFS-395,T0330,S0330-01,1,4404967.0,31,4.1.1.1,4.1.1.1,1,MFS-395,MFS-395,0.0061048909840895,4.1.1.1,4
MFS-675,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0401-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0401-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2039--bc2039.hifi_reads.fastq.gz,MFS-675,T0401,S0401-01,1,4403212.0,14,4.3.3,4.3.3,2,MFS-675,MFS-675,0.0080973228468482,4.3.3,4
MFS-677,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0403-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0403-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2040--bc2040.hifi_reads.fastq.gz,MFS-677,T0403,S0403-01,1,4408331.0,32,4.4.1.1,4.4.1.1,0,MFS-677,MFS-677,0.0038294712985033,4.4.1.1,4
MFS-690,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0419-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0419-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2049--bc2049.hifi_reads.fastq.gz,MFS-690,T0419,S0419-01,1,4364836.0,37,4.3.4.2.1,4.3.4.2.1,0,MFS-690,MFS-690,0.0037321685281433,4.3.4.2.1,4
MFS-706,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0443-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0443-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2051--bc2051.hifi_reads.fastq.gz,MFS-706,T0443,S0443-01,1,4407895.0,19,2.2.1,2.2.1,0,MFS-706,MFS-706,0.0068558892088303,2.2.1,2
MFS-331,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0001-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0001-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2041--bc2041.hifi_reads.fastq.gz,MFS-331,T0001,S0001-01,1,4416220.0,165,4.3.2.1,4.3.2.1,0,MFS-331,MFS-331,0.0101619080119819,4.3.2.1,4
MFS-356,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0090-06/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0090-06.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2043--bc2043.hifi_reads.fastq.gz,MFS-356,T0090,S0090-06,1,4415621.0,173,2.2.1.1,2.2.1.1,0,MFS-356,MFS-356,0.0106958533546894,2.2.1.1,2
MFS-355,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0090-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0090-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2042--bc2042.hifi_reads.fastq.gz,MFS-355,T0090,S0090-01,1,4414256.0,130,2.2.1.1,2.2.1.1,0,MFS-355,MFS-355,0.0114826752618855,2.2.1.1,2
MFS-430,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0351-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0351-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2061--bc2061.hifi_reads.fastq.gz,MFS-430,T0351,S0351-01,1,4395562.0,73,4.3.3,4.3.3,0,MFS-430,MFS-430,0.0062223012355712,4.3.3,4
MFS-431,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0351-07/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0351-07.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2062--bc2062.hifi_reads.fastq.gz,MFS-431,T0351,S0351-07,1,4395561.0,80,4.3.3,4.3.3,0,MFS-431,MFS-431,0.0072084137550714,4.3.3,4
MFS-351,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0072-06/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0072-06.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2019--bc2019.hifi_reads.fastq.gz,MFS-351,T0072,S0072-06,1,4415799.0,20,4.1.2.1,4.1.2.1,1,MFS-351,MFS-351,0.0235865417967395,4.1.2.1,4
MFS-415,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0340-06/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0340-06.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2055--bc2055.hifi_reads.fastq.gz,MFS-415,T0340,S0340-06,1,4415290.0,126,2.2.1.1,2.2.1.1,0,MFS-415,MFS-415,0.0116104306004358,2.2.1.1,2
MFS-414,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0340-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0340-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_231017/m64142_230928_115158.bc2054--bc2054.hifi_reads.fastq.gz,MFS-414,T0340,S0340-02,1,4415291.0,160,2.2.1.1,2.2.1.1,0,MFS-414,MFS-414,0.0103436907607351,2.2.1.1,2
