Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,ROLLINGDB_ID,Lineage,F2
2.2.1,2.2.1.1.1,beijing,"asian_african_1,lin2.2.1",,SAMD00029436,2,0.019610847249885
1.2.2,1.2.2.1,"indo_oceanic,ghana",,,SAMD00029437,1,0.0269417475728155
2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029438,2,0.0198153569015987
2.2.1,2.2.1.1.1,"beijing,canetti,mungi",lin2.2.1,,SAMD00029439,2,0.0188967360183241
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00029440,2,0.0195723400586308
4.9,4.2.1.1.1.1.1.1.i2,indo_oceanic,,4.10/PGG3,SAMD00029441,4,0.0185682873198143
2.2.1,2.2.1.1.1,"beijing,canetti",lin2.2.1,,SAMD00029444,2,0.0190017891294959
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00029445,2,0.0199957455860455
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029446,2,0.0239543025612677
2.2.1.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,pacific_RD150",,SAMD00029447,2,0.0190543401552575
4.3.3,4.2.1.2.1.1.i4.2,"lam,canetti,mungi",,4.3/LAM,SAMD00029448,4,0.0150808884014258
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00029449,2,0.0216785382471353
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00029451,2,0.0211569362613818
4.3.3,4.2.1.2.1.1.i4.2,"lam,canetti,westafrican1,ethiopian",,4.3/LAM,SAMD00029453,4,0.021712158808933
4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,SAMD00029454,4,0.0189058055880876
4.2.1,4.2.2.2.1,ural,,4,SAMD00029455,4,0.0300321773328566
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029456,4,0.0186685452624163
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029457,4,0.0172377548875341
2.2.1.1,2.2.1.1.1,beijing,"lin2.2.1,pacific_RD150",,SAMD00029459,2,0.0217963171739947
4.3.3,4.2.1.2.1.1.i4.2,"lam,canetti",,4.3/LAM,SAMD00029460,4,0.0275466814568312
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029462,2,0.018897951064253
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00029463,2,0.0244067796610169
2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,SAMD00029465,2,0.0261943102522812
2.1,2.1,"beijing,mungi","lin2,proto_beijing",,SAMD00029466,2,0.0265579255541614
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00029468,2,0.0199951032400228
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029470,2,0.0203521609878801
4.9,4.2.1.1.1.1.1.1.i2,suricattae,,4.10/PGG3,SAMD00029471,4,0.022528491916247
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00029472,2,0.0180092742370322
2.2.1,2.2.1.1.1.i1,"beijing,canetti",lin2.2.1,,SAMD00029473,2,0.0214953271028037
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029474,2,0.0214578214578214
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029475,2,0.0176342919153554
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029478,2,0.010328699493309
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029479,2,0.0187536064627813
4.5,4.2.1.1.2,,,4.5,SAMD00029480,4,0.00705023290948
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029484,2,0.018833614755163
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029485,2,0.019252276721521
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029486,4,0.016266460108443
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029487,2,0.0199655271473714
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00029488,2,0.0188397939821089
4.5,4.2.1.1.2,xtype,,4.5,SAMD00029489,4,0.0168717047451669
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029490,4,0.0141414141414141
1.2.1,1.2.1.1.1,"indo_oceanic,mungi",,,SAMD00029491,1,0.021318173743116
4.2.2,4.2.2.1,tur,,4,SAMD00029492,4,0.0388266968966983
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asian_african_2",,SAMD00029493,2,0.0146239170023729
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00029495,2,0.0163894324853228
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029496,2,0.01497454327643
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00029498,2,0.017202390566952
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029499,2,0.0133704735376044
2.2.1,2.2.1,"beijing,canetti,mungi",lin2.2.1,,SAMD00029500,2,0.0151997172145634
4.5,4.2.1.1.2,tur,,4.5,SAMD00029502,4,0.0069539756610851
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00029503,2,0.0092165898617511
2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,SAMD00029504,2,0.0138232842456237
2.2.1,2.2.1.1.1,"beijing,canetti","lin2.2.1,asia_ancestral_3",,SAMD00029506,2,0.0202363896848137
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_3",,SAMD00029507,2,0.0154417513682564
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00029508,2,0.0165241506817656
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029509,2,0.0134613574319871
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00029510,2,0.0142139756575027
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00029511,2,0.0132987910189982
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00029512,2,0.0129739177198171
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asian_african_2",,SAMD00029513,2,0.0124425423997463
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029514,2,0.0154088600945543
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00029515,2,0.0163586791881248
2.2.1,2.2.1,"beijing,canetti,stype",lin2.2.1,,SAMD00029516,2,0.0141832669322709
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029517,4,0.0074701195219123
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029518,2,0.020796407893182
4.5,4.2.1.1.2,xtype,,4.5,SAMD00029519,4,0.0108710422611767
4.5,4.2.1.1.2,ethiopian,,4.5,SAMD00029520,4,0.0139138715479843
2.2.1,2.2.1,"beijing,canetti,dassie,mungi",lin2.2.1,,SAMD00029521,2,0.0205847463540576
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00029523,2,0.0187793427230046
2.2.1,2.2.1,"beijing,canetti",lin2.2.1,,SAMD00029527,2,0.0157303370786516
2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029532,2,0.012699502316801
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029536,2,0.0137634721817652
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029537,2,0.0194733955019199
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029540,2,0.0131189166314007
2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,SAMD00029542,2,0.0156714060031595
4.5,4.2.1.1.2,canetti,,4.5,SAMD00029544,4,0.0097622602503732
2.2.2,2.2.2,"beijing,ethiopian,ghana,mungi","asia_ancestral_1,lin2.2",,SAMD00029547,2,0.0163853842372603
2.2.1,2.2.1.1.1,"beijing,canetti","lin2.2.1,asia_ancestral_3",,SAMD00029550,2,0.0122675108824693
2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,SAMD00029554,2,0.013081102837593
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029555,2,0.0173336186603894
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029557,2,0.0144510604134608
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00029560,2,0.0132122213047068
2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,SAMD00029561,2,0.0191050134632645
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00029580,2,0.0180440771349862
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asian_african_2",,SAMD00029581,2,0.0187929717341482
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00035728,2,0.01696352841391
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00035729,2,0.0142580287929125
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00035730,2,0.0181791526169183
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00035731,2,0.0167805773742731
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00035732,2,0.0207966890843248
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00035733,2,0.0197268588770864
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00035734,2,0.0262997686594423
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089633,1,0.0217563957546148
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089634,1,0.0225942282017048
1.1.1.1,1.1.1.1.1,"indo_oceanic,mungi",,,SAMD00089635,1,0.0236103850845094
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089636,1,0.0233794955505239
1.1.1.1,1.1.1.1.1,"indo_oceanic,east_african_indian,mungi",,,SAMD00089637,1,0.0188146054882129
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089638,1,0.0188963439682322
1.1.1.1,1.1.1.1.1,"indo_oceanic,mungi",,,SAMD00089640,1,0.017739889568721
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089641,1,0.0238767884808165
1.1.1.1,1.1.1.1.1,"indo_oceanic,mungi",,,SAMD00089642,1,0.0238613837155233
1.1.1.1,1.1.1.1.1,"indo_oceanic,ethiopian,mungi",,,SAMD00089643,1,0.0226102412630368
1.1.1.1,1.1.1.1.1,"indo_oceanic,canetti,ghana,ethiopian,mungi",,,SAMD00089644,1,0.0257238939599074
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117768,2,0.010126582278481
2.1,2.1,"beijing,canetti,mungi","lin2,proto_beijing",,SAMD00117785,2,0.0238650332754016
1.2.1,1.2.1.1.2,"indo_oceanic,canetti,mungi",,,SAMD00117790,1,0.0183231538034425
2.1,2.1,"beijing,mungi","lin2,proto_beijing",,SAMD00117801,2,0.0084717216289958
4.5,4.2.1.1.2,,,4.5,SAMD00117814,4,0.0081760577774749
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117819,2,0.0105571284610585
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117822,2,0.013673915107777
1.2.1,1.2.1.1.1,"indo_oceanic,canetti,mungi",,,SAMD00117839,1,0.0183609871136191
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117847,2,0.0095429872176501
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00117868,2,0.0096091134397147
2.2.1,2.2.1.1.1.i1,"beijing,canetti,mungi",lin2.2.1,,SAMD00117870,2,0.0226872246696035
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00117872,2,0.0087482626113972
2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,SAMD00117873,2,0.0042304980449971
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117874,2,0.0119654231119199
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117875,2,0.0110654763925189
2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117876,2,0.0130353244996464
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117877,2,0.0153787734953483
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117878,2,0.0124531628829623
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117879,2,0.0161694660315868
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117880,2,0.0159635871895511
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117881,2,0.0068928595328916
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00117882,2,0.0069292609909515
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117883,2,0.0140715815234016
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117884,2,0.0135767549498585
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117885,2,0.0138393494079041
2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117886,2,0.0141894925909295
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117887,2,0.0133328010857849
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117888,2,0.0079101811686654
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117889,2,0.0120340966070533
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00117890,2,0.0131238128129856
4.3.3,4.2.1.2.1.1.i4.2,"lam,canetti,ethiopian",,4.3/LAM,SAMD00117891,4,0.0158280179541696
2.2.1,2.2.1.1.1,"beijing,canetti","lin2.2.1,asian_african_2",,SAMD00117892,2,0.0106757877280265
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117893,2,0.0167541253082126
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117894,2,0.0139716840536512
4.3.4.1,4.2.1.2.1.1.i3.2,"lam,ghana,beijing",,4.3/LAM,SAMD00117895,4,0.0191140094445693
4.3.4.1,4.2.1.2.1.1.i3.2,"lam,ghana,indo_oceanic,beijing",,4.3/LAM,SAMD00117896,4,0.0176636620231266
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00117897,2,0.0128274616079494
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117898,2,0.0118433119350189
2.2.2,2.2.2,"beijing,ethiopian","asia_ancestral_1,lin2.2",,SAMD00117899,2,0.009526306589757
2.2.2,2.2.2,"beijing,ethiopian","asia_ancestral_1,lin2.2",,SAMD00117900,2,0.0088217086256706
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00117901,4,0.014874536518065
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117902,2,0.0104159384830478
4.2.2,4.2.2.1,"tur,ethiopian",,4,SAMD00117903,4,0.0248654666914084
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00117904,2,0.0113127001067235
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117905,2,0.0155672309787896
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00117906,4,0.0157823538253419
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00117907,2,0.0141288489595331
4,4,"westafrican2,ethiopian",,4,SAMD00117908,4,0.0152792126583655
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117909,2,0.0108187792019588
2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117910,2,0.0096538408495379
2.2.1,2.2.1,"beijing,haarlem,mungi",lin2.2.1,,SAMD00117911,2,0.010967904978519
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117912,2,0.0087295092131041
2.2.1.1,2.2.1.1.1,"beijing,canetti,ethiopian,mungi","lin2.2.1,pacific_RD150",,SAMD00117913,2,0.0123696960798707
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117914,2,0.012860663312455
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117915,2,0.0158783499957993
2.2.2,2.2.2,"beijing,ethiopian","asia_ancestral_1,lin2.2",,SAMD00117916,2,0.0084699945936204
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117917,2,0.0142189721714401
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00117918,2,0.015048984951015
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117919,2,0.0151321398124467
4.2.2,4.2.2.1,"tur,westafrican2,ethiopian",,4,SAMD00117920,4,0.0176296037702914
2.2.1,2.2.1,"beijing,canetti,mungi",lin2.2.1,,SAMD00117921,2,0.0155112651646447
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117922,2,0.0162966878083157
2.2.2,2.2.2,"beijing,canetti,ethiopian,mungi","asia_ancestral_1,lin2.2",,SAMD00117923,2,0.0117616977755049
1.2.1,1.2.1.1.1,"indo_oceanic,mungi",,,SAMD00117924,1,0.01788027986525
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117925,2,0.0201786079487354
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117926,2,0.0138606307222787
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117927,2,0.0159186804756425
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117928,2,0.0152338058020929
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117929,2,0.0151865861231863
1.2.1,1.2.1.1.1,"indo_oceanic,mungi",,,SAMD00117930,1,0.0207574654042243
2.2.1,2.2.1.1.2,"beijing,suricattae,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117931,2,0.0163060520539354
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117932,2,0.015985162942683
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMD00117933,2,0.0148389063929261
2.2.1,2.2.1.1.2,"beijing,caprae,ghana,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117934,2,0.0140873826051449
2.2.1,2.2.1,"beijing,mungi",lin2.2.1,,SAMD00117935,2,0.0145402252936007
4.5,4.2.1.1.2,canetti,,4.5,SAMD00117936,4,0.0171228887594641
4.3.3,4.2.1.2.1.1.i4.2,"lam,canetti",,4.3/LAM,SAMD00117937,4,0.016260162601626
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117938,2,0.017541893179398
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117939,2,0.0144207659029001
2.2.2,2.2.2,"beijing,orygis,pinipedii,mungi","asia_ancestral_1,lin2.2",,SAMD00117940,2,0.0118536333963236
4.2.2,4.2.2.1,"tur,canetti,ethiopian",,4,SAMD00117941,4,0.0285118219749652
2.2.1,2.2.1.1.1,"beijing,ethiopian,mungi","lin2.2.1,asia_ancestral_3",,SAMD00117942,2,0.0142704245451302
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00117943,2,0.0148172270617927
4.2.2,4.2.2.1,"tur,ethiopian",,4,SAMD00117944,4,0.0269443463936933
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00117945,2,0.0129480877592614
2.2.1,2.2.1.1.1.i1,"beijing,canetti,mungi",lin2.2.1,,SAMD00117946,2,0.0101740066882049
4.2.2,4.2.2.1,"tur,ethiopian",,4,SAMD00117947,4,0.029126213592233
4.2.2,4.2.2.1,"tur,ethiopian",,4,SAMD00117948,4,0.0244493717664449
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00117949,2,0.0076387572121244
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00117950,4,0.0133611872742307
2.2.1,2.2.1,"beijing,canetti,mungi",lin2.2.1,,SAMD00136663,2,0.020344980097302
4.3.4.2,4.2.1.2.1.1.i3.1,lam,,4.3/LAM,SAMEA10029749,4,0.0254171011470281
4.3.4.2,4.2.1.2.1.1.i3.1,lam,,4.3/LAM,SAMEA10029750,4,0.0218987848844972
4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,SAMEA10029751,4,0.0266050808314087
4.1.1,4.1.i1.2.1,xtype,,4,SAMEA10029753,4,0.0364753113955323
4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,SAMEA10029755,4,0.0294487002386035
4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,SAMEA10029761,4,0.0241387735157586
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMEA10029767,2,0.0325123152709359
4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,SAMEA10029771,4,0.0225270094245651
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMEA10029785,2,0.0254028160836115
4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,SAMEA10029795,4,0.0301059730250481
4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,SAMEA10029800,4,0.0249921053818739
4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,SAMEA10029809,4,0.0266386260077111
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMEA10029856,2,0.0124239350912778
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asian_african_2",,SAMEA10029867,2,0.0142596163604993
2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_2",,SAMEA10029875,2,0.010573566084788
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMEA10029885,2,0.0156568086760188
1.1.1.1,1.1.1.1.1,"indo_oceanic,mungi",,,SAMEA10029903,1,0.0291242362525458
2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_3",,SAMEA10029932,2,0.0149572649572649
3,3.1.1,east_african_indian,,,SAMEA1010876,3,0.0087844872462259
